Symbol,Environment_Score,Social_Score,Governance_Score,Controversy_Score,Total_ESG_Risk_Score
SYN0000,39.29,34.09,18.47,0.0,11.89
SYN0001,47.21,,42.26,0.0,15.28
SYN0002,57.37,45.89,71.63,5.0,23.61
SYN0003,46.92,30.56,55.66,3.0,13.56
SYN0004,61.11,56.37,61.03,2.0,19.01
SYN0005,69.0,67.52,50.05,4.0,23.31
SYN0006,47.28,24.2,59.54,3.0,15.7
SYN0007,28.23,46.52,41.54,3.0,16.37
SYN0008,56.63,77.56,43.04,4.0,15.17
SYN0009,74.62,47.43,54.51,1.0,17.61
SYN0010,31.68,19.66,88.47,0.0,13.55
SYN0011,48.58,29.41,32.82,4.0,15.46
SYN0012,73.92,59.37,40.81,0.0,14.81
SYN0013,40.8,,49.38,4.0,15.36
SYN0014,,81.53,87.25,0.0,30.28
SYN0015,37.62,70.5,54.38,1.0,16.19
SYN0016,28.12,62.14,52.56,4.0,11.37
SYN0017,35.28,33.33,48.44,3.0,15.38
SYN0018,54.02,46.93,6.32,4.0,10.09
SYN0019,48.06,55.25,73.18,3.0,17.25
SYN0020,59.26,38.39,26.59,0.0,13.68
SYN0021,30.46,,55.35,5.0,13.28
SYN0022,61.88,39.98,27.97,1.0,10.36
SYN0023,33.01,52.73,71.48,0.0,11.37
SYN0024,57.28,41.88,63.3,5.0,13.25
SYN0025,54.35,33.21,20.83,1.0,9.88
SYN0026,19.63,68.19,40.53,3.0,9.87
SYN0027,61.34,53.58,58.56,2.0,19.8
SYN0028,42.6,29.92,8.91,4.0,15.98
SYN0029,80.59,52.57,12.38,0.0,10.34
SYN0030,36.96,84.14,51.27,0.0,11.67
SYN0031,74.48,35.51,65.41,2.0,13.95
SYN0032,29.93,58.81,58.65,2.0,11.27
SYN0033,16.67,44.99,76.5,4.0,13.16
SYN0034,66.1,64.06,52.87,3.0,24.44
SYN0035,16.23,56.06,52.02,0.0,7.58
SYN0036,22.34,47.21,73.0,5.0,12.34
SYN0037,71.86,36.84,26.37,2.0,11.57
